109.469;;1.077;;;;;;;;;;;;
134.469;;1.128;;;;;;;;;;;;
145.469;;1.101;;;;;;;;;;;;
156.472;;1.087;;;;;;;;;;;;
178.467;4261;1086;5.04;8;775935;0;1;173;41.8;0;7;-1;0;0
193.467;;1.071;;;;;;;;;;;;
227.467;4261;1.068;5.03;13;776009;0;1;222;40.8;0;7;-1;0;0
282.467;;1.140;;;;;;;;;;;;
293.467;;1.060;;;;;;;;;;;;
317.467;;1.076;;;;;;;;;;;;
331.469;;1.055;;;;;;;;;;;;
346.469;;1.102;;;;;;;;;;;;
357.469;;1.055;;;;;;;;;;;;
368.467;;1.072;;;;;;;;;;;;
380.467;;1.057;;;;;;;;;;;;
424.469;;1.043;;;;;;;;;;;;
435.467;;1.027;;;;;;;;;;;;
446.469;;1.001;;;;;;;;;;;;
497.469;;1.018;;;;;;;;;;;;
509.469;;1.002;;;;;;;;;;;;
527.468;4261;1.014;5.04;18;776446;0;1;522;39.8;0;7;-1;0;0
719.469;;1.000;;;;;;;;;;;;
733.469;;1.042;;;;;;;;;;;;
744.469;;1.004;;;;;;;;;;;;
827.469;4261;1.004;5.04;23;776868;0;1;822;39.8;0;7;-1;0;0
851.469;;1.059;;;;;;;;;;;;
862.467;;1.012;;;;;;;;;;;;
873.469;;1.029;;;;;;;;;;;;
884.469;;1.014;;;;;;;;;;;;
896.469;;1.028;;;;;;;;;;;;
910.467;;1.012;;;;;;;;;;;;
925.467;;1.046;;;;;;;;;;;;
936.467;;1.002;;;;;;;;;;;;
973.469;;0.988;;;;;;;;;;;;
1127.469;4261;0.985;5.04;28;777288;0;1;1122;39.8;0;7;33
1150.467;;0.999;;;;;;;;;;;;
1161.467;;0.982;;;;;;;;;;;;
1181.467;;1.009;;;;;;;;;;;;
1192.468;;0.980;;;;;;;;;;;;
1272.469;;0.966;;;;;;;;;;;;
1291.467;;0.982;;;;;;;;;;;;
1303.467;;0.966;;;;;;;;;;;;
1227.189;;0.994;;;;;;;;;;;;
1230.189;;0.983;;;;;;;;;;;;
1233.189;;0.980;;;;;;;;;;;;
1236.189;;0.977;;;;;;;;;;;;
1239.189;;0.978;;;;;;;;;;;;
1242.189;;0.975;;;;;;;;;;;;
1245.189;;0.975;;;;;;;;;;;;
1248.189;;0.977;;;;;;;;;;;;
1251.189;;0.975;;;;;;;;;;;;
1254.189;;0.978;;;;;;;;;;;;
1257.189;;0.974;;;;;;;;;;;;
1260.189;;0.968;;;;;;;;;;;;
1263.189;;0.969;;;;;;;;;;;;
1266.189;;0.973;;;;;;;;;;;;
1269.189;;0.975;;;;;;;;;;;;
1272.189;;0.972;;;;;;;;;;;;
1275.189;;0.975;;;;;;;;;;;;
1278.189;;0.966;;;;;;;;;;;;
1281.189;;0.971;;;;;;;;;;;;
1284.189;;0.967;;;;;;;;;;;;
1287.189;;0.967;;;;;;;;;;;;
1290.189;;0.967;;;;;;;;;;;;
1293.189;;0.975;;;;;;;;;;;;
1296.189;;0.964;;;;;;;;;;;;
1299.189;;0.963;;;;;;;;;;;;
1302.189;;0.978;;;;;;;;;;;;
1305.189;;0.966;;;;;;;;;;;;
1308.189;;0.964;;;;;;;;;;;;
1311.189;;0.976;;;;;;;;;;;;
1314.189;;0.970;;;;;;;;;;;;
1317.189;;0.966;;;;;;;;;;;;
1320.189;;0.962;;;;;;;;;;;;
1323.189;;0.969;;;;;;;;;;;;
1326.189;;0.961;;;;;;;;;;;;
1329.189;;0.963;;;;;;;;;;;;
1332.189;;0.964;;;;;;;;;;;;
1335.189;;0.968;;;;;;;;;;;;
1338.189;;0.961;;;;;;;;;;;;
1341.189;;0.963;;;;;;;;;;;;
1344.189;;0.962;;;;;;;;;;;;
1347.189;;0.972;;;;;;;;;;;;
1350.189;;0.961;;;;;;;;;;;;
1353.189;;0.968;;;;;;;;;;;;
1356.189;;0.967;;;;;;;;;;;;
1359.189;;0.967;;;;;;;;;;;;
1362.189;;0.968;;;;;;;;;;;;
1365.189;;0.968;;;;;;;;;;;;
1368.189;;0.965;;;;;;;;;;;;
1371.189;;0.967;;;;;;;;;;;;
1374.189;;0.960;;;;;;;;;;;;
1377.189;;0.963;;;;;;;;;;;;
1380.189;;0.960;;;;;;;;;;;;
1383.189;;0.961;;;;;;;;;;;;
1386.189;;0.960;;;;;;;;;;;;
1389.189;;0.961;;;;;;;;;;;;
1392.189;;0.959;;;;;;;;;;;;
1395.189;;0.958;;;;;;;;;;;;
1398.189;;0.953;;;;;;;;;;;;
1401.189;;0.960;;;;;;;;;;;;
1404.189;;0.957;;;;;;;;;;;;
1425.659;4261;0.000;5.04;33;777694;0;2;1401;40.8;0;7;33
1425.976;4261;0.963;5.04;33;777694;0;2;1401;40.8;0;7;33
1448.467;4261;-0.001;5.11;33;777694;0;2;1443;38.8;0;7;33
1489.469;4261;0.002;5.11;33;777694;0;2;1484;36.8;0;7;33
1648.469;4261;0.003;5.11;33;777694;0;2;1643;35.8;0;7;33
3623.467;4261;0.004;5.11;28;777694;0;2;3618;34.8;0;7;33
8043.467;4261;0.006;5.11;23;777694;0;2;8038;34.8;0;7;33
8054.469;;1.015;;;;;;;;;;;;
8069.467;4261;1.005;5.04;28;777731;0;2;8064;34.8;0;7;33
8081.467;;0.986;;;;;;;;;;;;
8089.467;4261;0.986;5.04;28;777758;0;2;8084;35.8;0;7;33
8102.467;;1.000;;;;;;;;;;;;
8122.469;;0.982;;;;;;;;;;;;
8157.469;;0.968;;;;;;;;;;;;
8166.467;4261;0.982;5.04;28;777866;0;2;8161;37.8;0;7;33
8184.467;;0.968;;;;;;;;;;;;
8195.469;;0.983;;;;;;;;;;;;
8232.469;;1.006;;;;;;;;;;;;
8243.469;;0.980;;;;;;;;;;;;
8259.467;;0.967;;;;;;;;;;;;
8271.467;;0.980;;;;;;;;;;;;
8285.469;;0.964;;;;;;;;;;;;
8296.469;;0.984;;;;;;;;;;;;
8320.467;;1.016;;;;;;;;;;;;
