timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;charge profile
280391.85;4349;0.215;5.06;9;852639;0;2;305;40.8;0;7;9
280394.85;;0.551;;;;;;;;;;;;
280397.85;;0.544;;;;;;;;;;;;
280400.85;;0.536;;;;;;;;;;;;
280403.85;;0.524;;;;;;;;;;;;
280406.85;;0.523;;;;;;;;;;;;
280409.85;;0.519;;;;;;;;;;;;
280412.85;;0.520;;;;;;;;;;;;
280415.85;;0.525;;;;;;;;;;;;
280418.85;;0.532;;;;;;;;;;;;
280421.85;;0.542;;;;;;;;;;;;
280424.85;;0.547;;;;;;;;;;;;
280427.85;;0.556;;;;;;;;;;;;
280430.85;;0.562;;;;;;;;;;;;
280433.85;;0.564;;;;;;;;;;;;
280436.85;;0.566;;;;;;;;;;;;
280439.85;;0.566;;;;;;;;;;;;
280442.85;;0.564;;;;;;;;;;;;
280445.85;;0.566;;;;;;;;;;;;
280448.85;;0.566;;;;;;;;;;;;
280451.85;;0.566;;;;;;;;;;;;
280454.85;;0.565;;;;;;;;;;;;
280457.85;;0.566;;;;;;;;;;;;
280460.85;;0.565;;;;;;;;;;;;
280463.85;;0.566;;;;;;;;;;;;
280466.85;;0.566;;;;;;;;;;;;
280469.85;;0.564;;;;;;;;;;;;
280472.85;;0.560;;;;;;;;;;;;
280475.85;;0.557;;;;;;;;;;;;
280478.85;;0.547;;;;;;;;;;;;
280481.85;;0.538;;;;;;;;;;;;
280484.85;;0.534;;;;;;;;;;;;
280487.85;;0.525;;;;;;;;;;;;
280490.85;;0.520;;;;;;;;;;;;
280493.85;;0.518;;;;;;;;;;;;
280496.85;;0.520;;;;;;;;;;;;
280499.85;;0.526;;;;;;;;;;;;
280502.85;;0.533;;;;;;;;;;;;
280505.85;;0.544;;;;;;;;;;;;
280508.85;;0.549;;;;;;;;;;;;
280511.85;;0.557;;;;;;;;;;;;
280514.85;;0.562;;;;;;;;;;;;
280517.85;;0.563;;;;;;;;;;;;
280520.85;;0.564;;;;;;;;;;;;
280523.85;;0.564;;;;;;;;;;;;
280526.85;;0.565;;;;;;;;;;;;
280529.85;;0.565;;;;;;;;;;;;
280532.85;;0.564;;;;;;;;;;;;
280535.85;;0.564;;;;;;;;;;;;
280538.85;;0.566;;;;;;;;;;;;
280541.85;;0.566;;;;;;;;;;;;
280544.85;;0.565;;;;;;;;;;;;
280547.85;;0.565;;;;;;;;;;;;
280550.85;;0.564;;;;;;;;;;;;
280553.85;;0.564;;;;;;;;;;;;
280556.85;;0.559;;;;;;;;;;;;
280559.85;;0.551;;;;;;;;;;;;
280562.85;;0.548;;;;;;;;;;;;
280565.85;;0.540;;;;;;;;;;;;
280568.85;;0.529;;;;;;;;;;;;
280571.85;;0.525;;;;;;;;;;;;
280574.85;;0.520;;;;;;;;;;;;
280577.85;;0.517;;;;;;;;;;;;
280580.85;;0.524;;;;;;;;;;;;
280583.85;;0.533;;;;;;;;;;;;
280586.85;;0.000;;;;;;;;;;;;
280589.85;;-0.001;;;;;;;;;;;;
280592.85;;-0.003;;;;;;;;;;;;
280595.85;;0.000;;;;;;;;;;;;
280598.85;;-0.003;;;;;;;;;;;;
280601.85;;0.000;;;;;;;;;;;;
280604.85;;-0.004;;;;;;;;;;;;
280607.85;;0.001;;;;;;;;;;;;
280610.85;;0.000;;;;;;;;;;;;
280613.85;;0.001;;;;;;;;;;;;
280616.85;;0.000;;;;;;;;;;;;
280619.85;;-0.001;;;;;;;;;;;;
280622.85;;0.001;;;;;;;;;;;;
280625.85;;0.002;;;;;;;;;;;;
280628.85;;0.002;;;;;;;;;;;;
280631.85;;0.002;;;;;;;;;;;;
280634.85;;0.002;;;;;;;;;;;;
280637.85;;0.000;;;;;;;;;;;;
280640.85;;0.002;;;;;;;;;;;;
280643.85;;0.002;;;;;;;;;;;;
280646.85;;0.001;;;;;;;;;;;;
280649.85;;0.001;;;;;;;;;;;;
280652.85;;0.000;;;;;;;;;;;;
280655.85;;0.000;;;;;;;;;;;;
280658.85;;0.001;;;;;;;;;;;;
280661.85;;0.000;;;;;;;;;;;;
280664.85;;0.001;;;;;;;;;;;;
280667.85;;0.000;;;;;;;;;;;;
280670.85;;0.000;;;;;;;;;;;;
280673.85;;0.000;;;;;;;;;;;;
280676.85;;0.000;;;;;;;;;;;;
280679.85;;0.000;;;;;;;;;;;;
280682.85;;0.000;;;;;;;;;;;;
280685.85;;0.000;;;;;;;;;;;;
280688.85;;0.000;;;;;;;;;;;;
280727.122;4349;0.001;5.04;9;852639;0;2;306;42.8;0;7;9
280733.86;4349;-0.001;5.06;9;852639;0;2;312;40.8;0;7;9
280995.86;4349;0.001;5.07;9;852639;0;2;574;39.8;0;7;9
281413.88;4349;0.001;5.06;8;852639;0;2;992;39.8;0;7;9
288058.87;4349;0.002;5.07;7;852639;0;2;7637;39.8;0;7;9
292153.86;4349;0.003;5.06;6;852639;0;2;11732;38.8;0;7;9
296626.88;4349;0.004;5.07;5;852639;0;2;16205;38.8;0;7;9
302621.88;4349;0.002;5.07;4;852639;0;2;22200;38.8;0;7;9
305622.88;4349;0.003;5.07;4;852639;0;3;25201;38.8;0;7;9
305623.88;4349;0.014;4.98;4;852639;0;0;25202;38.8;0;7;9

