timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
17.201;1008;-0.857;4.96;-1;947078;0;1;6;25.7;0;3;-1
75.197;1008;-0.856;4.95;70;947145;0;1;64;28.7;0;3;75
138.201;1008;-0.808;4.89;71;947217;0;1;128;30.7;0;3;75
439.199;1008;-0.828;4.92;72;947568;0;1;428;30.7;0;3;75
740.199;1008;-0.850;4.92;73;947915;0;1;730;31.7;0;3;74
911.201;1008;0.005;0.94;74;948110;0;1;900;31.7;0;3;74
1705.197;1008;-0.142;5.07;71;948110;0;1;1694;30.7;0;3;-1
1766.201;1008;-0.843;4.92;71;948180;0;1;1756;30.7;0;3;-1

