timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;charge profile
34.971;1037;1.006;4.44;71;1016788;0;1;24;38.7;0;3;-1;0;0
36.973;1037;0.901;4.55;71;1016791;0;1;26;38.7;0;3;-1;0;0
47.973;;0.849;;;;;;;;;;;;
58.971;;0.793;;;;;;;;;;;;
69.975;;0.841;;;;;;;;;;;;
81.975;;0.829;;;;;;;;;;;;
92.975;;0.856;;;;;;;;;;;;
103.973;;0.837;;;;;;;;;;;;
107.971;1037;0.855;4.58;71;1016865;0;1;97;39.7;0;3;72
118.975;;0.841;;;;;;;;;;;;
129.975;;0.811;;;;;;;;;;;;
140.971;;0.857;;;;;;;;;;;;
153.975;;0.802;;;;;;;;;;;;
164.975;;0.858;;;;;;;;;;;;
177.975;;0.803;;;;;;;;;;;;
188.975;;0.853;;;;;;;;;;;;
220.973;;0.790;;;;;;;;;;;;
227.971;1037;0.820;4.59;60;1016992;0;1;217;40.7;0;3;66
238.973;;0.835;;;;;;;;;;;;
250.975;1037;0.838;4.58;59;1017016;0;1;240;40.7;0;3;-1;0;0
322.975;;0.848;;;;;;;;;;;;
385.971;;0.832;;;;;;;;;;;;
403.971;;0.802;;;;;;;;;;;;
404.973;1037;0.014;5.04;59;1017180;0;1;394;39.7;0;3;-1;0;0

