timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
3206.271;1005;-1.260;4.79;63;944231;0;1;0;32.7;0;3;-1
3267.269;1005;0.010;0.92;64;944306;0;1;62;34.7;0;3;64
3393.273;1005;-0.009;4.84;63;944306;0;1;188;33.7;0;3;100
3454.273;1005;-1.183;4.78;63;944402;0;1;248;33.7;0;3;65
3755.271;1005;-1.192;4.77;63;944872;0;1;550;35.7;0;3;-1
4037.269;1005;-0.011;0.92;68;945316;0;1;832;35.7;0;3;68
4229.271;1005;-1.072;4.84;68;945316;0;1;1024;33.7;0;3;100
4290.273;1005;-1.256;4.80;68;945419;0;1;1084;34.7;0;3;69
4591.273;1005;-1.213;4.79;68;945899;0;1;1386;36.7;0;3;-1
4892.273;1005;-1.220;4.79;68;946384;0;1;1686;36.7;0;3;-1
4905.271;1005;-1.179;4.80;68;946405;0;1;1700;36.7;0;3;-1
5182.269;1005;-0.876;4.87;74;946848;0;1;1976;36.7;0;3;75
5252.269;1005;-1.190;4.77;74;946942;0;1;2046;36.7;0;3;75
5313.269;1005;-0.011;0.92;75;946979;0;1;2108;36.7;0;3;75
5460.271;1005;-0.827;4.89;62;946979;0;1;2254;34.7;0;3;90
5522.275;1005;-1.159;4.79;62;947072;0;1;2316;35.7;0;3;-1
5592.271;1005;-0.971;4.83;62;947174;0;1;2386;35.7;0;3;-1
5653.273;1005;-0.889;4.87;62;947260;0;1;2448;35.7;0;3;-1

