timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
10.453;620;1.373;8.57;-1;758993;1;0;0;45.7;0;1;-1
68.453;620;1.368;8.57;-1;759179;1;0;0;44.7;0;1;-1
129.453;620;1.275;8.61;-1;759375;1;0;0;44.7;0;1;-1
266.451;620;1.362;8.58;-1;759784;1;0;0;43.7;0;1;-1
327.451;620;0.656;8.83;-1;759883;1;0;0;43.7;0;1;-1
388.451;620;1.170;8.64;-1;760060;1;0;0;43.7;0;1;-1
451.449;620;1.271;8.61;-1;760231;1;0;0;43.7;0;1;-1
512.451;620;0.655;8.83;-1;760340;1;0;0;42.7;0;1;-1
573.453;620;1.105;8.67;-1;760464;1;0;0;42.7;0;1;-1
665.449;620;1.027;8.70;-1;760699;1;0;0;42.7;0;1;-1
808.453;620;0.944;8.73;-1;761042;1;0;0;42.7;0;1;-1
995.449;620;1.025;8.71;-1;761458;1;0;0;41.7;0;1;-1
1056.449;620;0.885;8.75;-1;761585;1;0;0;42.7;0;1;-1
1182.451;620;0.806;8.78;-1;761840;1;0;0;41.7;0;1;-1
1319.449;620;0.881;8.75;-1;762101;1;0;0;41.7;0;1;-1
1380.451;620;0.746;8.80;-1;762213;1;0;0;41.7;0;1;-1
1598.449;620;0.671;8.83;-1;762589;1;0;0;41.7;0;1;-1
1782.449;620;0.554;8.86;-1;762882;1;0;0;40.7;0;1;-1
1882.455;620;0.638;8.83;-1;763015;1;0;0;40.7;0;1;-1
1943.453;620;0.516;8.86;-1;763092;1;0;0;40.7;0;1;-1
2244.451;620;0.457;8.88;-1;763450;1;0;0;40.7;0;1;-1
2278.453;620;0.437;8.90;-1;763490;1;0;0;40.7;0;1;-1
2343.453;620;0.578;8.84;-1;763559;1;0;0;40.7;0;1;-1
2404.453;620;0.415;8.90;-1;763624;1;0;0;39.7;0;1;-1
2705.453;620;0.373;8.91;-1;763915;1;0;0;39.7;0;1;-1
2754.451;620;0.372;8.80;-1;763960;1;0;0;39.7;0;1;-1
2864.449;620;0.348;8.85;-1;764058;1;0;0;39.7;0;1;-1
2971.449;620;0.591;8.71;-1;764149;1;0;0;39.7;0;1;-1
3032.449;620;0.333;8.87;-1;764201;1;0;0;40.7;0;1;-1
3333.453;620;0.300;8.89;-1;764438;1;0;0;40.7;0;1;-1
3634.451;620;0.279;8.90;-1;764653;1;0;0;40.7;0;1;-1
3719.451;620;0.256;8.92;-1;764709;1;0;0;40.7;0;1;-1
3926.451;620;0.428;8.83;-1;764844;1;0;0;40.7;0;1;-1
3987.453;620;0.245;8.92;-1;764881;1;0;0;40.7;0;1;-1
4088.451;620;0.370;8.85;-1;764942;1;0;0;39.7;0;1;-1
4149.451;620;0.239;8.92;-1;764978;1;0;0;40.7;0;1;-1
4394.453;620;0.324;8.87;-1;765118;1;0;0;40.7;0;1;-1
4455.453;620;0.228;8.92;-1;765152;1;0;0;40.7;0;1;-1
4534.453;620;0.371;8.84;-1;765196;1;0;0;40.7;0;1;-1

