timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
162.575;1027;-1.666;4.69;73;1009725;0;1;6;33.7;0;3;75
220.575;1027;-1.555;4.75;73;1009833;0;1;64;36.7;0;3;75
281.575;1027;-1.266;4.81;74;1009934;0;1;126;37.7;0;3;75
367.575;1027;0.012;0.92;75;1010078;0;1;212;37.7;0;3;75
582.575;1027;-0.011;4.42;59;1010078;0;1;426;35.7;0;3;66
643.577;1027;-1.251;4.81;60;1010186;0;1;488;35.7;0;3;66
944.575;1027;-1.256;4.81;60;1010688;0;1;788;37.7;0;3;66
1065.577;1027;-1.663;4.70;61;1010890;0;1;910;37.7;0;3;66
1126.575;1027;-1.249;4.81;61;1010993;0;1;970;37.7;0;3;66

