timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
726.527;598;-1.147;4.60;68;736079;0;1;2;34.7;0;1;-1
787.525;598;-0.888;4.68;68;736149;0;1;64;36.7;0;1;-1
1088.527;598;-0.900;4.68;69;736497;0;1;364;35.7;0;1;-1
1389.527;598;-0.911;4.69;70;736848;0;1;666;35.7;0;1;-1
1404.525;598;-0.769;4.66;70;736865;0;1;680;36.7;0;1;-1
1705.523;598;-0.810;4.66;71;737175;0;1;982;35.7;0;1;-1
2006.527;598;-0.814;4.67;71;737490;0;1;1282;35.7;0;1;-1
2307.527;598;-0.814;4.67;72;737804;0;1;1584;35.7;0;1;-1
2608.523;598;-0.816;4.67;73;738120;0;1;1884;35.7;0;1;-1
2909.523;598;-0.814;4.67;74;738436;0;1;2186;35.7;0;1;-1
3210.525;598;-0.813;4.67;75;738751;0;1;2486;35.7;0;1;-1
3511.527;598;-0.825;4.67;77;739069;0;1;2788;36.7;0;1;-1
3560.525;598;-0.556;4.78;77;739121;0;1;2836;36.7;0;1;-1
3621.525;598;-0.846;4.68;77;739181;0;1;2898;36.7;0;1;-1
3730.527;598;-0.558;4.79;78;739299;0;1;3006;36.7;0;1;-1
3791.523;598;-0.839;4.68;78;739362;0;1;3068;35.7;0;1;-1
3852.525;598;-0.562;4.79;78;739420;0;1;3128;35.7;0;1;-1
3913.527;598;-0.010;0.92;78;739459;0;2;3190;36.7;0;1;-1
5248.527;598;-0.009;1.01;74;739459;0;2;4524;34.7;0;1;-1

