timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
369.971;1004;-1.444;4.75;59;942936;0;1;2;34.7;0;3;-1
392.975;1004;-1.262;4.79;59;942975;0;1;26;34.7;0;3;-1
693.975;1004;-1.264;4.79;59;943474;0;1;326;35.7;0;3;-1
994.975;1004;-1.261;4.79;64;943972;0;1;628;35.7;0;3;65
1094.973;1004;-0.631;3.91;65;944139;0;1;728;34.7;0;3;65
1155.973;1004;0.009;0.92;65;944139;0;1;788;34.7;0;3;65
1427.973;1004;-0.232;5.08;65;944139;0;1;1060;32.7;0;3;-1
1488.971;1004;0.006;0.93;65;944144;0;1;1122;32.7;0;3;65
1667.971;1004;-0.344;5.04;65;944144;0;1;1300;32.7;0;3;-1
1728.971;1004;-0.006;0.93;65;944156;0;1;1362;32.7;0;3;65
1856.973;1004;-1.226;4.79;65;944156;0;1;1490;31.7;0;3;-1
1917.973;1004;-0.006;0.93;65;944205;0;1;1550;32.7;0;3;65
2242.971;1004;-1.236;4.79;65;944206;0;1;1876;31.7;0;3;-1
2303.971;1004;-0.005;0.93;65;944228;0;1;1936;32.7;0;3;65
2488.971;1004;-0.006;1.00;65;944228;0;1;2122;32.7;0;3;65

