timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
9.487;4263;-0.425;5.11;-1;781784;0;1;3;38.8;0;7;-1;0;0
15.487;4263;-1.806;5.04;-1;781797;0;1;9;38.8;0;7;-1;0;0
23.487;4263;-1.809;5.06;-1;781817;0;1;17;39.8;0;7;-1;0;0
37.487;4263;-1.812;5.06;49;781850;0;1;31;39.8;0;7;-1;0;0
100.485;4263;-1.811;5.04;49;782010;0;1;94;40.8;0;7;-1;0;0
159.485;4263;-1.810;5.06;49;782160;0;1;153;40.8;0;7;-1;0;0
240.487;4263;-0.002;5.16;49;782362;0;1;234;39.8;0;7;-1;0;0
241.485;4263;-0.001;5.16;49;782362;0;1;235;39.8;0;7;-1;0;0
244.487;4263;0.016;5.29;49;782362;0;1;238;39.8;0;7;-1;0;0

