timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
26.755;1022;1.482;4.80;64;1006215;0;1;6;30.7;0;3;65
84.759;1022;1.213;4.84;64;1006313;0;1;64;33.7;0;3;65
198.759;1022;-0.010;5.10;65;1006501;0;1;178;35.7;0;3;65
1781.757;1022;0.832;4.95;59;1006501;0;1;1762;32.7;0;3;65
1842.759;1022;1.291;4.87;60;1006606;0;1;1822;33.7;0;3;65
2143.757;1022;1.294;4.87;62;1007127;0;1;2124;34.7;0;3;65
2215.759;1022;1.213;4.85;63;1007251;0;1;2196;34.7;0;3;65
2516.757;1022;1.269;4.86;64;1007756;0;1;2496;35.7;0;3;65
2537.757;1022;-0.009;5.10;65;1007790;0;1;2518;35.7;0;3;65
5083.757;1022;1.499;4.78;59;1007792;0;1;5064;33.7;0;3;65
5144.755;1022;1.190;4.84;60;1007892;0;1;5124;33.7;0;3;65
5445.757;1022;1.192;4.83;61;1008369;0;1;5426;34.7;0;3;65
5640.757;1022;1.073;4.88;62;1008680;0;1;5620;34.7;0;3;65
5701.757;1022;1.188;4.84;63;1008777;0;1;5682;34.7;0;3;65
5978.759;1022;0.040;5.09;65;1009215;0;1;5958;35.7;0;3;65
14328.757;1022;1.226;4.84;62;1009216;0;1;14308;36.7;0;3;-1

