"id","sessionId","deviceKey","timestamp","level","message"
454608,59,"2026 - V2043_21","2025-12-09 10:12:08.321","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
454607,59,"2026 - V2043_21","2025-12-09 10:12:08.329","RECONNECT","Attempt 10 to DC:54:75:D1:7C:E6"
454317,59,"2026 - V2043_21","2025-12-09 10:09:20.719","RECONNECT","Attempt 8 to DC:54:75:D1:7C:E6"
454316,59,"2026 - V2043_21","2025-12-09 10:09:20.709","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
454253,59,"2026 - V2043_21","2025-12-09 10:08:42.57","RECONNECT","Attempt 7 to DC:54:75:D1:7C:E6"
454252,59,"2026 - V2043_21","2025-12-09 10:08:42.56","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
454192,59,"2026 - V2043_21","2025-12-09 10:07:54.317","RECONNECT","Attempt 6 to DC:54:75:D1:7C:E6"
454191,59,"2026 - V2043_21","2025-12-09 10:07:54.308","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
454099,59,"2026 - V2043_21","2025-12-09 10:07:16.113","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
454098,59,"2026 - V2043_21","2025-12-09 10:07:16.127","RECONNECT","Attempt 5 to DC:54:75:D1:7C:E6"
454006,59,"2026 - V2043_21","2025-12-09 10:06:19.309","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
454005,59,"2026 - V2043_21","2025-12-09 10:06:19.318","RECONNECT","Attempt 4 to DC:54:75:D1:7C:E6"
453908,59,"2026 - V2043_21","2025-12-09 10:05:41.558","RECONNECT","Attempt 3 to DC:54:75:D1:7C:E6"
453907,59,"2026 - V2043_21","2025-12-09 10:05:41.547","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
453850,59,"2026 - V2043_21","2025-12-09 10:05:08.377","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
453849,59,"2026 - V2043_21","2025-12-09 10:05:08.384","RECONNECT","Attempt 2 to DC:54:75:D1:7C:E6"
453746,59,"2026 - V2043_21","2025-12-09 10:04:08.158","RECONNECT","Attempt 1 to DC:54:75:D1:7C:E6"
453745,59,"2026 - V2043_21","2025-12-09 10:04:08.1","INFO","Max reconnect attempts reached, waiting 30s before retry"
453744,59,"2026 - V2043_21","2025-12-09 10:04:08.083","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
453502,59,"2026 - V2043_21","2025-12-09 10:01:47.304","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
453501,59,"2026 - V2043_21","2025-12-09 10:01:47.308","RECONNECT","Attempt 10 to DC:54:75:D1:7C:E6"
453335,59,"2026 - V2043_21","2025-12-09 10:00:11.431","RECONNECT","Attempt 9 to DC:54:75:D1:7C:E6"
453334,59,"2026 - V2043_21","2025-12-09 10:00:11.3","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
452930,59,"2026 - V2043_21","2025-12-09 09:56:11.76","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
452929,59,"2026 - V2043_21","2025-12-09 09:56:11.776","RECONNECT","Attempt 8 to DC:54:75:D1:7C:E6"
452835,59,"2026 - V2043_21","2025-12-09 09:55:13.286","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
452834,59,"2026 - V2043_21","2025-12-09 09:55:13.297","RECONNECT","Attempt 7 to DC:54:75:D1:7C:E6"
452547,59,"2026 - V2043_21","2025-12-09 09:52:08.281","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
452546,59,"2026 - V2043_21","2025-12-09 09:52:08.386","RECONNECT","Attempt 5 to DC:54:75:D1:7C:E6"
452296,59,"2026 - V2043_21","2025-12-09 09:49:34.233","RECONNECT","Attempt 4 to DC:54:75:D1:7C:E6"
452295,59,"2026 - V2043_21","2025-12-09 09:49:34.222","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
452218,59,"2026 - V2043_21","2025-12-09 09:48:50.29","RECONNECT","Attempt 3 to DC:54:75:D1:7C:E6"
452217,59,"2026 - V2043_21","2025-12-09 09:48:50.273","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
452159,59,"2026 - V2043_21","2025-12-09 09:48:12.277","DISCONNECT","Disconnected (status: 133, wasConnected: false)"
452158,59,"2026 - V2043_21","2025-12-09 09:48:12.293","RECONNECT","Attempt 2 to DC:54:75:D1:7C:E6"
451966,59,"2026 - V2043_21","2025-12-09 09:46:10.805","RECONNECT","Attempt 1 to DC:54:75:D1:7C:E6"
