timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
17.869;21;-0.07;4.73;-1;62949;0;1;4;29.0;0;2;-1
75.869;21;-0.810;4.73;-1;63008;0;1;62;33.0;0;2;-1
376.865;21;-0.810;4.73;-1;63326;0;1;364;37.0;0;2;-1
677.867;21;-0.810;4.72;-1;63643;0;1;664;38.0;0;2;-1
978.867;21;-0.809;4.72;-1;63961;0;1;966;38.0;0;2;-1
1279.867;21;-0.809;4.73;-1;64279;0;1;1266;38.0;0;2;-1
1580.869;21;-0.811;4.73;-1;64597;0;1;1568;39.0;0;2;-1
1881.865;21;-0.810;4.73;-1;60;2;-1
