timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
3346.690;4240;0.000;4.96;97;730419;0;2;1828;36.8;0;7;-1;0;0
3347.685;4240;0.001;2.98;97;730420;0;2;2045;36.8;0;7;-1;0;0
3520.685;4240;-0.001;2.98;96;730420;0;2;3494;35.8;0;7;-1;0;0
4360.685;4240;0.003;2.99;95;730420;0;2;4334;35.8;0;7;-1;0;0
4723.685;4240;-0.004;2.99;94;730420;0;2;4697;34.8;0;7;-1;0;0
5082.685;4240;0.002;2.99;93;730420;0;2;5056;35.8;0;7;-1;0;0
5441.684;4240;0.002;2.99;92;730420;0;2;5415;35.8;0;7;-1;0;0
5728.685;4240;0.003;2.99;92;730420;0;2;5702;34.8;0;7;-1;0;0
5775.685;4240;0.003;2.98;91;730420;0;2;5749;34.8;0;7;-1;0;0
6032.685;4240;0.001;2.98;91;730420;0;2;6006;36.8;0;7;-1;0;0
6111.685;4240;-0.000;2.99;90;730420;0;2;6085;37.8;0;7;-1;0;0
6448.685;4240;0.001;2.99;89;730420;0;2;6422;36.8;0;7;-1;0;0
