timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
18.571;4243;1.157;5.07;68;730734;0;1;6;31.8;0;7;-1;0;0
30.573;4243;1.139;5.07;68;730753;0;1;18;33.8;0;7;-1;0;0
44.571;;1.165;;;;;;;;;;;;
55.573;;1.111;;;;;;;;;;;;
56.573;4243;1.110;5.07;68;730793;0;1;44;35.8;0;7;73
67.573;;1.063;;;;;;;;;;;;
80.570;;1.030;;;;;;;;;;;;
81.573;4243;1.080;5.07;68;730831;0;1;69;36.8;0;7;73
92.570;;1.028;;;;;;;;;;;;
114.571;;1.082;;;;;;;;;;;;
125.573;;1.014;;;;;;;;;;;;
143.571;;0.989;;;;;;;;;;;;
154.571;;1.016;;;;;;;;;;;;
165.571;;1.002;;;;;;;;;;;;
190.571;;0.959;;;;;;;;;;;;
201.571;;0.944;;;;;;;;;;;;
212.573;;0.966;;;;;;;;;;;;
223.573;;0.997;;;;;;;;;;;;
234.571;;0.955;;;;;;;;;;;;
245.574;;0.992;;;;;;;;;;;;
266.571;;1.012;;;;;;;;;;;;
277.573;;0.971;;;;;;;;;;;;
288.571;;0.988;;;;;;;;;;;;
302.570;;1.001;;;;;;;;;;;;
315.573;;0.979;;;;;;;;;;;;
331.571;;0.955;;;;;;;;;;;;
342.572;;0.986;;;;;;;;;;;;
355.571;;0.974;;;;;;;;;;;;
367.573;;0.961;;;;;;;;;;;;
378.573;;1.028;;;;;;;;;;;;
389.572;;0.949;;;;;;;;;;;;
215.589;;0.959;;;;;;;;;;;;
218.589;;0.958;;;;;;;;;;;;
221.589;;0.951;;;;;;;;;;;;
224.589;;0.953;;;;;;;;;;;;
227.589;;0.959;;;;;;;;;;;;
230.589;;0.957;;;;;;;;;;;;
233.589;;0.965;;;;;;;;;;;;
236.589;;0.954;;;;;;;;;;;;
239.589;;0.956;;;;;;;;;;;;
242.589;;0.983;;;;;;;;;;;;
245.589;;0.987;;;;;;;;;;;;
248.589;;0.986;;;;;;;;;;;;
251.589;;0.990;;;;;;;;;;;;
254.589;;0.987;;;;;;;;;;;;
257.589;;0.985;;;;;;;;;;;;
260.589;;0.983;;;;;;;;;;;;
263.589;;0.989;;;;;;;;;;;;
266.589;;1.015;;;;;;;;;;;;
269.589;;1.009;;;;;;;;;;;;
272.589;;1.015;;;;;;;;;;;;
275.589;;1.004;;;;;;;;;;;;
278.589;;1.009;;;;;;;;;;;;
281.589;;0.992;;;;;;;;;;;;
284.589;;0.990;;;;;;;;;;;;
287.589;;0.994;;;;;;;;;;;;
290.589;;0.988;;;;;;;;;;;;
293.589;;0.998;;;;;;;;;;;;
296.589;;0.980;;;;;;;;;;;;
299.589;;0.983;;;;;;;;;;;;
302.589;;0.991;;;;;;;;;;;;
305.589;;0.996;;;;;;;;;;;;
308.589;;0.989;;;;;;;;;;;;
311.589;;0.981;;;;;;;;;;;;
314.589;;0.979;;;;;;;;;;;;
317.589;;0.974;;;;;;;;;;;;
320.589;;0.977;;;;;;;;;;;;
323.589;;0.979;;;;;;;;;;;;
326.589;;0.976;;;;;;;;;;;;
329.589;;0.983;;;;;;;;;;;;
332.589;;0.982;;;;;;;;;;;;
335.589;;0.981;;;;;;;;;;;;
338.589;;0.978;;;;;;;;;;;;
341.589;;0.989;;;;;;;;;;;;
344.589;;0.984;;;;;;;;;;;;
347.589;;0.983;;;;;;;;;;;;
350.589;;0.984;;;;;;;;;;;;
353.589;;0.978;;;;;;;;;;;;
356.589;;0.956;;;;;;;;;;;;
359.589;;0.960;;;;;;;;;;;;
362.589;;0.967;;;;;;;;;;;;
365.589;;0.962;;;;;;;;;;;;
368.589;;0.965;;;;;;;;;;;;
371.589;;0.950;;;;;;;;;;;;
374.589;;0.956;;;;;;;;;;;;
377.589;;0.953;;;;;;;;;;;;
380.589;;0.948;;;;;;;;;;;;
383.589;;0.948;;;;;;;;;;;;
386.589;;0.946;;;;;;;;;;;;
389.589;;0.954;;;;;;;;;;;;
392.589;;0.946;;;;;;;;;;;;
413.933;4243;0.000;5.09;73;731294;0;2;383;38.8;0;7;73
414.202;4243;0.952;5.09;73;731294;0;2;383;38.8;0;7;73
421.571;4243;0.001;5.15;73;731294;0;2;409;36.8;0;7;73
505.573;4243;0.001;5.15;73;731294;0;2;493;34.8;0;7;73
