timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
14667.557;26;0.811;4.72;-1;77511;0;1;0;37.0;0;2;-1
14968.557;26;-0.812;4.73;-1;77827;0;1;302;39.0;0;2;-1
15269.555;26;-0.811;4.73;-1;78146;0;1;602;39.0;0;2;-1
15570.557;26;-0.812;4.73;-1;78464;0;1;904;38.0;0;2;-1
15871.557;26;-0.812;4.73;-1;78782;0;1;1204;38.0;0;2;-1
16172.557;26;-0.813;4.73;-1;79100;0;1;1506;39.0;0;2;-1
16473.557;26;-0.812;4.73;-1;79419;0;1;1806;40.0;0;2;-1
16774.557;26;-0.811;4.73;-1;79737;0;1;2108;40.0;0;2;-1
17075.555;26;-0.811;4.73;-1;80054;0;1;2408;39.0;0;2;-1
17376.557;26;-0.810;4.73;-1;80373;0;1;2710;39.0;0;2;-1
17389.557;26;-0.528;4.87;-1;80386;0;1;2722;40.0;0;2;-1
17450.555;26;-0.811;4.73;-1;80450;0;1;2784;39.0;0;2;-1
17751.555;26;-0.812;4.73;-1;80769;0;1;3084;39.0;0;2;-1
18052.555;26;-0.812;4.73;-1;81087;0;1;3386;40.0;0;2;-1
18353.553;26;-0.811;4.73;-1;81406;0;1;3686;41.0;0;2;-1
18654.553;26;-0.812;4.73;-1;81724;0;1;3988;41.0;0;2;-1
18955.553;26;-0.811;4.73;-1;82042;0;1;4288;40.0;0;2;-1
19256.553;26;-0.812;4.73;-1;82360;0;1;4590;40.0;0;2;-1
19557.553;26;-0.811;4.73;-1;82679;0;1;4890;40.0;0;2;-1
19858.557;26;-0.812;4.73;-1;82997;0;1;5192;39.0;0;2;-1
20159.555;26;-0.811;4.73;-1;83315;0;1;5492;39.0;0;2;-1
20460.557;26;-0.810;4.73;-1;83633;0;1;5794;39.0;0;2;-1
20761.555;26;-0.812;4.73;-1;83950;0;1;6094;39.0;0;2;-1
21062.557;26;-0.770;4.74;-1;84259;0;1;6396;39.0;0;2;-1
21274.553;26;-0.724;4.76;-1;84472;0;1;6608;40.0;0;2;-1
21575.557;26;-0.727;4.76;-1;84764;0;1;6908;39.0;0;2;-1
21876.553;26;-0.694;4.79;-1;85049;0;1;7210;39.0;0;2;-1
21969.553;26;-0.642;4.81;-1;85134;0;1;7302;40.0;0;2;-1
22049.555;26;-0.720;4.77;-1;85204;0;1;7382;40.0;0;2;-1
22110.555;26;-0.598;4.83;-1;85260;0;1;7444;40.0;0;2;-1
22171.553;26;-0.720;4.76;-1;85309;0;1;7504;41.0;0;2;-1
22232.553;26;-0.578;4.84;-1;85361;0;1;7566;41.0;0;2;-1
22293.555;26;-0.660;4.81;-1;85419;0;1;7626;41.0;0;2;-1
22354.553;26;-0.562;4.84;-1;85470;0;1;7688;41.0;0;2;-1
22421.557;26;-0.659;4.81;-1;85523;0;1;7754;41.0;0;2;-1
22485.553;26;-0.584;4.84;-1;85571;0;1;7818;41.0;0;2;-1
22576.557;26;-0.505;4.88;-1;85641;0;1;7910;41.0;0;2;-1
22683.553;26;-0.771;4.75;-1;85717;0;1;8016;41.0;0;2;-1
22744.553;26;-0.555;4.85;-1;85764;0;1;8078;41.0;0;2;-1
22805.553;26;-0.474;4.88;-1;85809;0;1;8138;41.0;0;2;-1
22903.553;26;-0.582;4.85;-1;85875;0;1;8236;41.0;0;2;-1
22964.555;26;-0.501;4.88;-1;85919;0;1;8298;41.0;0;2;-1
23044.553;26;-0.584;4.84;-1;85969;0;1;8378;41.0;0;2;-1
23105.555;26;-0.420;4.91;-1;86008;0;1;8438;41.0;0;2;-1
23166.557;26;-0.502;4.88;-1;86051;0;1;8500;40.0;0;2;-1
23228.557;26;-0.412;4.90;-1;86088;0;1;8562;40.0;0;2;-1
23302.553;26;-0.567;4.85;-1;86133;0;1;8636;40.0;0;2;-1
23363.555;26;-0.440;4.90;-1;86173;0;1;8696;40.0;0;2;-1
23438.555;26;-0.666;4.80;-1;86216;0;1;8772;40.0;0;2;-1
23499.555;26;-0.389;4.92;-1;86252;0;1;8832;41.0;0;2;-1
