timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;;0;0
15941.465;;-0.519;;;;;;;;;;;;
15952.467;;-0.508;;;;;;;;;;;;
15963.469;;-0.472;;;;;;;;;;;;
15993.469;467;;-0.479;;;;;;;;;;;;
15941.465;;-0.519;;;;;;;;;;;;
15952.467;;-0.508;;;;;;;;;;;;
15963.469;;-0.472;;;;;;;;;;;;
15993.469;;-0.503;;;;;;;;;;;;
16004.467;;-0.463;;;;;;;;;;;;
16016.467;;-0.478;;;;;;;;;;;;
16027.469;;-0.467;;;;;;;;;;;;
16042.469;;-0.;0;2;-1;0;0
16060.469;;-0.448;;;;;;;;;;;;
16071.467;;-0.529;;;;;;;;;;;;
16082.469;;-0.485;;;;;;;;;;;;
16087.471;113;-0.786;4;0;2;-1;0;0
16060.469;;-0.448;;;;;;;;;;;;
16071.467;;-0.529;;;;;;;;;;;;
16082.469;;-0.485;;;;;;;;;;;;
16087.471;113;-0.786;4;;;
16113.471;;-0.459;;;;;;;;;;;;
16124.469;;-0.446;;;;;;;;;;;;
16135.469;;-0.476;;;;;;;;;;;;
16146.467;;-0.454;;;;;;;;;;;;
16157.469;;-0.442;;;;;;;;;;;;
16182.467;;-0.452;;;;;;;;;;;;
16193.467;;-0.441;;;;;;;;;;;;
16210.469;;-0.428;;;;;;;;;;;;
162
16157.469;;-0.442;;;;;;;;;;;;
16182.467;;-0.452;;;;;;;;;;;;
16193.467;;-0.441;;;;;;;;;;;;
16210.469;;-0.428;;;;;;;;;;;;
16223.467;;-0.449;;;;;;;;;;;;
16234.467;;-0.431;;;;;;;;;;;;
16246.467;;-0.591;;;;;;;;;;;;
16257.469;;-0.440;;;;;;;;;;;;
16268.42.0;0;2;-1;0;0
16353.465;113;-0.576;4.89;-1;144907;0;1;5616;31.0;0;2;-1;0;0
16354.467;113;-0.413;4.97;-1;144908;0;1;5618;31.0;2.0;0;2;-1;0;0
16353.465;113;-0.576;4.89;-1;144907;0;1;5616;31.0;0;2;-1;0;0
16354.467;113;-0.413;4.97;-1;144908;0;1;5618;31.0;2.0;0;2;-1;0;0
16353.465;113;-0.576;4.89;-1;144907;0;1;5616;31.0;0;2;-1;0;0
16354.467;113;-0.413;4.97;-1;144908;0;1;5618;31.0;-1;0;0
16421.469;;-0.787;;;;;;;;;;;;
16429.469;113;-0.576;4.90;-1;144964;0;1;5692;31.0;0;2;-1;0;0
16435.469;113;-0.786;4.80;-1;144969;0;1;5698;31.0;0;2;-1;0;0
16446.467;;-0.677;;;;;;;;;;;;
16450.469;113;-0.564;4.91;-1;144984;0;1;5714;31.0;0;2;-1;0;0
1;144969;0;1;5698;31.0;0;2;-1;0;0
16446.467;;-0.677;;;;;;;;;;;;
16450.469;113;-0.564;4.91;-1;144984;0;1;5714;31.0;0;2;-1;0;0
16451.467;113;-0.727;4.83;-1;144985;0;1;5714;32.0;0;2;-1;0;0
16454.466;113;-0.571;4.90;-1;144987;0;1;5718;32.0;0;2;-1;0;0
16455;113;-0.746;4.82;-1;145000;0;1;5732;32.0;0;2;-1;0;0
16469.471;113;-0.552;4.91;-1;145001;0;1;5732;32.0;0;2;-1;0;0
16480.471;;-0.426;;;;;;;;;;;;
16491.469;;-0.445;;;;;;;;;;;;
16502.467;;-0.594;;;;;;;;;;;;
16513.468;;-0.413;;;;;;;;;;;;
16528.465;;-0.460.426;;;;;;;;;;;;
16491.469;;-0.445;;;;;;;;;;;;
16502.467;;-0.594;;;;;;;;;;;;
16513.468;;-0.413;;;;;;;;;;;;
16528.465;;-0.461;0;0
16605.465;;-0.395;;;;;;;;;;;;
16616.471;;-0.405;;;;;;;;;;;;
16627.467;;-0.392;;;;;;;;;;;;
16641.469;;-0.405;;;;;;;;;;;1;0;0
16605.465;;-0.395;;;;;;;;;;;;
16616.471;;-0.405;;;;;;;;;;;;
16627.467;;-0.392;;;;;;;;;;;;
16641.469;;-0.405;;;;;;;;;;;1;0;0
16605.465;;-0.395;;;;;;;;;;;;
16616.471;;-0.405;;;;;;;;;;;;
16627.467;;-0.392;;;;;;;;;;;;
16641.469;;-0.405;;;;;;;;;;;;
16652.467;;-0.387;;;;;;;;;;;;
16664.467;;-0.455;;;;;;;;;;;;
16676.467;;-0.510;;;;;;;;;;;;
16686.471;113;-0.641;4.87;-1;1450;1;5956;31.0;0;2;-1;0;0
16699.467;113;-0.560;4.91;-1;145140;0;1;5962;31.0;0;2;-1;0;0
16709.467;113;-0.390;4.99;-1;145147;0;1;5972;31.0;0;2;-1;0;0
16716.465;113;-0.602;4.88;-1;145151;0;1;5980;31.0;0;2;-1;0;0
16717.467;113;-0.393;4.99;-1;145151;0;1;59805972;31.0;0;2;-1;0;0
16716.465;113;-0.602;4.88;-1;145151;0;1;5980;31.0;0;2;-1;0;0
16717.467;113;-0.393;4.99;-1;145151;0;1;5980;;;;;;;;
16856.465;;-0.377;;;;;;;;;;;;
16873.467;;-0.396;;;;;;;;;;;;
16884.469;;-0.364;;;;;;;;;;;;
16887.467;113;-0.588;4.89;;;;;;;;
16856.465;;-0.377;;;;;;;;;;;;
16873.467;;-0.396;;;;;;;;;;;;
16884.469;;-0.364;;;;;;;;;;;;
16887.467;113;-0.588;4.89;;;;;;;;
16856.465;;-0.377;;;;;;;;;;;;
16873.467;;-0.396;;;;;;;;;;;;
16884.469;;-0.364;;;;;;;;;;;;
16887.467;113;-0.588;4.89;-1;145242;0;1;6150;31.0;0;2;-1;0;0
16889.467;113;-0.374;4.99;-1;145243;0;1;6152;31.0;0;2;-1;0;0
16902.467;;-0.363;;;;;;;;;;;;
16914.467;;-0.425;;;;;;;;;;;;
16925.467;;-0.366;;;;;;;;;;;;
16935.467;113;-0.785;4.80;-1;145267;0;1;6198;31.0;0;2;-1;0;0
16940.465;113;-0.475;4.94;-1;145271;0;1;6204;31.0;0;2;-1;0;0
16951.469;;-0.373;;;;;;;;;;;;
16962.469;;-0.361;;;;;;;;;;;;
16976.471;;-0.409;;;;;;;;;;;;
16987.470;;-0.365;;;;;;;;;;;;
17010.467;;-0.353;;;;;;;;;;;;
17022.469;;-0.446;;;;;;;;;;;;
17033.468;12;-1;145376;0;1;6412;31.0;0;2;-1;0;0
