timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
188306.267;;4;;;;;;;;;;;;
188572.264;;0.964;;;;;;;;;;;;
188675.266;;0.908;;;;;;;;;;;;
188686.267;;0.924;;;;;;;;;;;;
188697.267;;0.966;;;4;;;;;;;;;;;;
188572.264;;0.964;;;;;;;;;;;;
188675.266;;0.908;;;;;;;;;;;;
188686.267;;0.924;;;;;;;;;;;;
188697.267;;0.966;;;;;;;;;;;;
188787.269;;0.948;;;;;;;;;;;;
188802.265;;0.926;;;;;;;;;;;;
188816.265;;0.942;;;;;;;;;;;;
188828.266;;0.926;;;;;;;;;;;;
188867.266;;0.911;;;;;;;;;;;;
188900.267;;0.895;;;;;;;;;;;;
188928.268;1678;0.572;5.05;67;1935128;0;1;4095;31.9;0;1;-1;0;0
188939.268;;0.878;;;;;;;;;;;;
188963.267;;0.863;;;;;;;;;;;;
188795.266;;0.944;;;;;;;;;;;;
188798.266;;0.946;;;;;;;;;;;;
188801.266;;0.926;;;;;;;;;;;;
188804.266;;0.923;;;;;;;;;;;;
188807.266;;0.924;;;;;;;;;;;;
188810.266;;0.923;;;;;;;;;;;;
188813.266;;0.936;;;;;;;;;;;;
188816.266;;0.936;;;;;;;;;;;;
188819.266;;0.939;;;;;;;;;;;;
188822.266;;0.929;;;;;;;;;;;;
188825.;0.924;;;;;;;;;;;;
188840.266;;0.924;;;;;;;;;;;;
188843.266;;0.935;;;;;;;;;;;;
188846.266;;0.921;;;;;;;;;;;;
188849.266;;0.920;;;;;;;;;;;;
188852.266;;0.919;;;;;;;;;;;;
188855.266;;0.917;;;;;;;;;;;;
188858.266;;0.919;;;;;;;;;;;;
188861.266;;0.915;;20;;;;;;;;;;;;
188852.266;;0.919;;;;;;;;;;;;
188855.266;;0.917;;;;;;;;;;;;
188858.266;;0.919;;;;;;;;;;;;
188861.266;;0.915;;;;;;;;;;;;
188864.266;;0.913;;;;;;;;;;;;
188867.266;;0.914;;;;;;;;;;;;
188870.266;;0.909;;;;;;;;;;;;
188873.266;;0.906;;;;;;;;;;;;
188876.266;;0.907;;;;;;;;;;;;
188879.266;;0.905;;;;;;;;;;;;
188882.266;;0.901;;;;;;;;;;;;
188885.266;;0.903;;;;;;;;;;;;
188888.266;;0.903;;;;;;;;;;;;
188891.266;;0.900;;;;;;;;;;;;
188894.266;;0.902;;;;;;;;;;;;
188897.266;;0.901;;;;;;;;;;;;
188900.266;;0.895;;;;;;;;;;;;
188903.266;;0.895;;;;;;;;;;;;
188906.266;;0.900;;;;;;;;;;;;
188909.266;;0.893;;;;;;;;;;;;
188966;;0.887;;;;;;;;;;;;
188927.266;;0.656;;;;;;;;;;;;
188930.266;;0.879;;;;;;;;;;;;
188933.266;;0.881;;;;;;;;;;;;
188936.266;;66;;0.887;;;;;;;;;;;;
188927.266;;0.656;;;;;;;;;;;;
188930.266;;0.879;;;;;;;;;;;;
188933.266;;0.881;;;;;;;;;;;;
188936.266;;0.881;;;;;;;;;;;;
188939.266;;0.883;;;;;;;;;;;;
188942.266;;0.875;;;;;;;;;;;;
188945.266;;0.868;;;;;;;;;;;;
188948.266;;0.87;;;;;
189004.15;1678;0.000;5.00;67;1935218;0;2;4142;33.9;0;1;-1;0;0
189004.519;1678;0.877;5.00;67;1935218;0;2;4142;33.9;0;1;-1;;;;;
189004.15;1678;0.000;5.00;67;1935218;0;2;4142;33.9;0;1;-1;0;0
189004.519;1678;0.877;5.00;67;1935218;0;2;4142;33.9;0;1;-1;;;;;
189004.15;1678;0.000;5.00;67;1935218;0;2;4142;33.9;0;1;-1;0;0
189004.519;1678;0.877;5.00;67;1935218;0;2;4142;33.9;0;1;-1;0;0
194686.265;1678;0.016;5.15;64;1935218;0;2;9853;30.9;0;1;-1;0;0
196913.265;1678;0.016;5.15;63;1935218;0;2;12080;30.9;0;1;-;0;0
194686.265;1678;0.016;5.15;64;1935218;0;2;9853;30.9;0;1;-1;0;0
196913.265;1678;0.016;5.15;63;1935218;0;2;12080;30.9;0;1;-;0;0
194686.265;1678;0.016;5.15;64;1935218;0;2;9853;30.9;0;1;-1;0;0
196913.265;1678;0.016;5.15;63;1935218;0;2;12080;30.9;0;1;-1;0;0
199059.265;1678;0.016;5.15;62;1935218;0;2;14226;30.9;0;1;-1;0;0
201287.265;1678;0.016;5.15;61;1935218;0;2;16454;30.9;0;1;-1;0;0
203422.265;1678;0.016;5.16;60;1935218;0;2;18589;30.9;0;1;-1;0;0
205620.265;1678;0.016;5.16;59;1935218;0;2;20787;30.9;0;0;1;-1;0;0
210034.272;1678;0.015;5.15;57;1935218;0;3;25201;30.9;0;1;-1;0;0
210035.268;1678;1.075;4.95;57;1935218;0;3;25202;30;0;1;-1;0;0
210034.272;1678;0.015;5.15;57;1935218;0;3;25201;30.9;0;1;-1;0;0
210035.268;1678;1.075;4.95;57;1935218;0;3;25202;309;0;1;-1;0;0
210066.265;1678;0.957;4.96;57;1935260;0;3;25233;30.9;0;1;-1;0;0
210070.268;1678;0.464;5.07;57;1935265;0;3;25237;30.9;0;1;-1;0;0
210071.265;1678;0.924;4.97;57;1935265;0;3;25238;30.9;0;1;-1;0;0
210075.268;1678;0.470;5.06;57;1935270;0;3;252420.9;0;1;-1;0;0
210071.265;1678;0.924;4.97;57;1935265;0;3;25238;30.9;0;1;-1;0;0
210075.268;1678;0.470;5.06;57;1935270;0;3;25242898;;;;;;;;;;;;
210110.265;;0.884;;;;;;;;;;;;
210121.268;;0.870;;;;;;;;;;;;
209957.262;;0.016;;;;;;;;;;;;
209960.262;;0.016;898;;;;;;;;;;;;
210110.265;;0.884;;;;;;;;;;;;
210121.268;;0.870;;;;;;;;;;;;
209957.262;;0.016;;;;;;;;;;;;
209960.262;;0.016;;;;;;;;;;;;
209963.262;;0.016;;;;;;;;;;;;
209966.262;;0.016;;;;;;;;;;;;
209969.262;;0.016;;;;;;;;;;;;
209972.262;;0.016;;;;;;;;;;;;
209975.262;;0.016;;;;;;;;;;;;
209978.262;;0.016;;;;;;;;;;;;
209981.262;;0.016;;;;;;;;;;;;
