timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
373843.361;2120;0.595;5.03;0;2963999;0;1;2;31.3;0;3;-1
373859.357;21120;0.613;5.04;0;2964013;0;1;18;31.3;0;3;-1
373920.364;21120;0.364;5.04;0;2964048;0;1;80;31.3;0;3;-1
373989.359;21120;0.769;5.03;0;2964086;0;1;148;30.3;0;3;-1
374050.366;21120;0.337;5.04;0;2964120;0;1;210;30.3;0;3;-1
374115.357;21120;0.631;5.03;0;2964151;0;1;274;31.3;0;3;-1
374176.368;21120;0.335;5.04;0;2964182;0;1;336;30.3;0;3;-1
374283.361;21120;0.483;5.00;0;2964234;0;1;442;30.3;0;3;-1
