timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
5685.963;;1.083;;;;;;;;;;;;
5699.966;;1.071;;;;;;;;;;;;
5710.966;;1.083;;;;;;;;;;;;
5740.965;;1.069;;;;;;;;;;;;
5751.965;;1.090;;;;;;;;;;;;
5902.963;4239;1.089;5.11;45;700112;1;0;0;29.8;0;7;85
6006.965;;1.073;;;;;;;;;;;;
6031.965;;1.085;;;;;;;;;;;;
6049.963;;1.072;;;;;;;;;;;;
6060.965;;1.086;;;;;;;;;;;;
6071.963;;1.068;;;;;;;;;;;;
6082.963;;1.088;;;;;;;;;;;;
6189.963;4239;1.092;5.11;46;700554;1;0;0;29.8;0;7;85
6208.963;;1.081;;;;;;;;;;;;
6229.964;;1.093;;;;;;;;;;;;
6240.963;;1.080;;;;;;;;;;;;
6254.963;;1.092;;;;;;;;;;;;
6454.963;4239;1.092;5.11;47;700963;1;0;;
6746.965;;1.013;;;;;;;;;;;;
6757.963;;1.093;;;;;;;;;;;;
6763.965;4239;1.093;5.11;48;701440;1;0;0;29.8;0;7;85
6811.963;;1.078;;;;;;;;;;;;
6822.966;;1.091;;;;;;;;;;;;
6853.965;;1.071;;;;;;;;;;;;
6864.963;;1.088;;;;;;;;;;;;
6894.963;4239;1.087;5.124239;1.082;5.11;52;702910;1;0;0;29.8;0;7;85
7935.965;4239;1.081;5.11;53;703239;1;0;0;29.8;0;7;85
7976.963;;1.066;;;;;;;;;;;;
7987.963;;1.081;;;;;;;;;;;;
8000.966;;1.056;;;;;;;;;;;;
8011.963;;1.081;;;;;;;;;;;;
8113.965;;1.047;;;;;;;;;;;;
8124.963;;1.071;;;;;;;;;;;;
8154.965;;1.083;;;;;;;;;;;;
8155.965;4239;1.081;5.12;54;703576;1;0;0;29.8;0;7;85
8198.963;;1.069;;;;;;;;;;;;.081;;;;;;;;;;;;
8344.963;;1.069;;;;;;;;;;;;
8355.965;;1.084;;;;;;;;;;;;
8366.964;;1.061;;;;;;;;;;;;
8377.964;;1.074;;;;;;;;;;;;
8393.965;;1.060;;;;;;;;;;;;
8411.965;4239;1.060;5.12;55;703964;1;0;0;29.8;0;7;85
8427.965;;1.036;;;;;;;;;;;;
8438.965;;1.059;;;;;;;;;;;;
8480.965;;1.078;;;;;;;;;;;;
8556.965;;1.060;;;;;;;;;;;;
8567.963;;1.083;;;;;;;;;;;;
8593.963;;1.071;;;;;;;;;;;;
8604.965;;1.084;;;;;;;;;;;;
8652.965;;1.068;;;;;;;;;;;;
8663.965;;1.082;;;;;;;;;;;;
8692.963;4239;1.082;5.11;56;704393;1;0;0;29.8;0;7;85
8808.965;;1.068;;;;;;;;;;;;
8819.964;;1.081;;;;;;;;;;;;
8845.966;;1.058;;;;;;;;;;;;
8856.965;;1.082;;;;;;;;;;;;
8885.963;;1.064;;;;;;;;;;;;
8896.963;;1.079;;;;;;;;;;;;
8907.965;;1.067;;;;;;;;;;;;
8923.973;;1.078;;;;;;;;;;;;
8962.965;4239;1.081;5.11;57;704806;1;0;0;29.8;0;7;85
8974.963;;1.060;;;;;;;;;;;;
8985.965;;1.079;;;;;;;;;;;;
9000.966;;1.066;;;;;;;;;;;;
9011.965;;1.081;;;;;;;;;;;;
9034.965;;1.063;;;;;;;;;;;;
9060.963;;1.051;;;;;;;;;;;;
9073.965;;1.062;;;;;;;;;;;;
9162.964;;1.076;;;;;;;;;;;;
9173.965;;1.058;;;;;;;;;;;;
9226.965;4239;1.065;5.12;58;705204;1;0;0;30.8;0;7;85
9237.963;;1.047;;;;;;;;;;;;
9248.965;;1.062;;;;;;;;;;;;
9338.964;;1.048;;;;;;;;;;;;
9349.963;;1.072;;;;;;;;;;;;
9379.963;;1.060;;;;;;;;;;;;
9394.966;;1.071;;;;;;;;;;;;
9413.965;;1.059;;;;;;;;;;;;
9438.963;;1.045;;;;;;;;;;;;
9449.963;;1.076;;;;;;;;;;;;
9463.965;;1.053;;;;;;;;;;;;
