timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
38.465;1668;1.007;5.03;-1;1880582;2;1;23;33.9;0;1;-1;0;0
49.468;1668;0.025;5.16;-1;1880598;2;1;34;33.9;0;1;-1;0;0
51.466;1668;0.015;5.16;-1;1880598;2;1;36;33.9;0;1;-1;0;0
70.466;1668;0.016;5.16;-1;1880598;2;0;55;33.9;0;1;-1;0;0
93.467;;0.141;;;;;;;;;;;;
94.465;1668;1.098;5.02;-1;1880599;2;0;0;34.9;0;1;-1;0;0
96.465;1668;1.081;5.02;-1;1880602;2;1;0;34.9;0;1;-1;0;0
107.466;;1.038;;;;;;;;;;;;
117.468;1668;0.018;5.17;-1;1880630;2;1;21;33.9;0;1;-1;0;0
119.466;1668;0.016;5.16;-1;1880630;2;1;23;33.9;0;1;-1;0;0
137.466;1668;0.016;5.16;-1;1880630;2;0;41;34.9;0;1;-1;0;0
537.468;;0.087;;;;;;;;;;;;
538.467;1668;1.147;.468;;0.767;;;;;;;;;;;;
568.465;1668;0.453;5.11;-1;1880670;2;1;28;33.9;0;1;-1;0;0
579.466;;0.784;;;;;;;;;;;;
590.468;;0.734;;;;;;;;;;;;
601.466;;0.720;;;;;;;;;;;;
615.467;1668;0.709;5.06;-1;1880716;2;1;75;32.9;0;1;-1;0;0
616.466;1668;0.017;5.17;-1;18;;;;;;;;;;
601.466;;0.720;;;;;;;;;;;;
615.467;1668;0.709;5.06;-1;1880716;2;1;75;32.9;0;1;-1;0;0
616.466;1668;0.017;5.17;-1;1880716;2;1;76;33.9;0;1;-1;0;0
618.466;1668;0.016;5.16;-1;1880716;2;1;78;33.9;0;1;-1;0;0
