timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
8817.915;121;0.011;5.08;-1;171612;0;0;0;35.0;0;2;-1;0;0
8831.913;121;-0.557;4.84;-1;171612;0;0;0;35.0;0;2;-1;0;062;-1;171624;0;1;10;35.0;0;2;-1;0;0
8843.913;121;-0.450;4.88;-1;171625;0;1;10;35.0;0;2;-1;0;0
8849.915;121;-0.034;5.06;-1;171662;-1;171624;0;1;10;35.0;0;2;-1;0;0
8843.913;121;-0.450;4.88;-1;171625;0;1;10;35.0;0;2;-1;0;0
8849.915;121;-0.034;5.06;-1;171662;-1;171624;0;1;10;35.0;0;2;-1;0;0
8843.913;121;-0.450;4.88;-1;171625;0;1;10;35.0;0;2;-1;0;0
8849.915;121;-0.034;5.06;-1;1716;-0.202;4.99;-1;171898;0;1;462;35.0;0;2;-1;0;0
9299.915;121;-0.536;4.84;-1;171899;0;1;466;35.0;0;2;-1;0;0
9300.913;121;-0.231;4.98;-1;171900;0;1;468;35.0;0;2;-1;0;0
9301.911;121;-0.709;4.73;-1;171900;0;1;468;35.0;0;2;-1;0;0
9302.915;121;0.010;5.07;-1;14.98;-1;171900;0;1;468;35.0;0;2;-1;0;0
9301.911;121;-0.709;4.73;-1;171900;0;1;468;35.0;0;2;-1;0;0
9302.915;121;0.010;5.07;-1;171900;0;1;470;35.0;0;2;-1;0;0
9303.915;121;-0.011;5.08;-1;171900;0;1;470;35.0;0;2;-1;0;0
