timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
620.915;11;-1106;4.91;76;34419;0;1;616;38.0;0;2;90
653.915;11;-1.007;4.92;77;34466;0;1;648;38.0;0;2;90
725.917;11;-0.917;4.92;78;34566;0;1;720;38.0;0;2;90
806.915;11;-1.061;4.91;79;34669;0;1;802;38.0;0;2;90
867.913;11;-0.845;4.93;79;34744;0;1;862;38.0;0;2;90
1011.;83;35109;0;1;1202;39.0;0;2;90
1277.919;11;-0.787;4.94;83;35178;0;1;1272;39.0;0;2;90
1338.915;11;-0.701;4.95;84;35239;0;1;1334;83;35109;0;1;1202;39.0;0;2;90
1277.919;11;-0.787;4.94;83;35178;0;1;1272;39.0;0;2;90
1338.915;11;-0.701;4.95;84;35239;0;1;1334;38.0;0;2;90
1399.915;11;-0.822;4.94;85;35297;0;1;1394;38.0;0;2;90
1460.917;11;-0.732;4.95;85;35353;0;1;1456;38.0;0;2;90
1521.919;11;-0.623;4.97;85;35409;0;1;1516;38.0;0;2;90
1617.915;11;-0.855;4.94;86;35491;0;1;1612;38.0;0;2;90
1678.915;11;-0.596;4.98;87;35544;0;1;1674;38.0;0;2;90
1744.919;11;-0.743;4.95;87;35599;0;1;1740;38.0;0;2;90
1805.915;11;-0.557;4.98;88;35648;0;1;1800;38.0;0;2;90
1870.917;11;-0.703;4.96;88;35698;0;1;1866;38.0;0;2;90
1931.917;11;-0.517;4.98;88;35743;0;1;1926;38.0;0;2;90
2011;90;35886;0;2;2128;39.0;0;2;90
