timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
9050.989;43;-.954;4.67;-1;110796;0;1;0;37.0;0;2;-1
9111.989;43;-1.134;4.61;-1;110882;0;1;62;38.0;0;2;-1
9301.993;43;-1.019;4.64;-1;111156;0;1;252;38.0;0;2;-1
9602.989;43;-1.156;4.58;-1;111548;0;1;552;38.0;0;2;-1
9663.993;43;-0.990;4.65;-1;111627;0;1;614;38.0;0;2;-1
9904.991;43;-1.151;4.59;-1;111933;0;1;854;38.0;0;2;-1
9965.991;43;-0.977;4.66;-1;112009;0;1;916;38.0;0;2;-1
10206.989;43;-1.2686;0;1;1458;38.0;0;2;-1
10569.989;43;-0.948;4.66;-1;112759;0;1;1520;38.0;0;2;-1
10810.989;43;-1.127;4.59;-1;113053;0;1;1760;2686;0;1;1458;38.0;0;2;-1
10569.989;43;-0.948;4.66;-1;112759;0;1;1520;38.0;0;2;-1
10810.989;43;-1.127;4.59;-1;113053;0;1;1760;38.0;0;2;-1
10871.993;43;-0.948;4.66;-1;113128;0;1;1822;38.0;0;2;-1
11112.991;43;-1.107;4.62;-1;113421;0;1;2062;38.0;0;2;-1
11173.989;43;-0.932;4.68;-1;113494;0;1;2124;38.0;0;2;-1
11414.991;43;-1.084;4.62;-1;113784;0;1;2364;38.0;0;2;-1
11475.991;43;-0.912;4.69;-1;113856;0;1;2426;38.0;0;2;-1
