173144.12;;0.448;;;;;;;;;;;;
173155.10;;0.458;;;;;;;;;;;;
173183.11;;0.447;;;;;;;;;;;;
173199.10;;0.465;;;;;;;;;;;;
17321109;;0.445;;;;;;;;;;;;
173229.09;;0.458;;;;;;;;;;;;
173240.12;;0.447;;;;;;;;;;;;
173251.10;;0.457;;;;;;;;;;;;
173270.12;;0.446;;;;;;;;;;;;
173282.10;;0.456;;;;;;;;;;;;
173305.10;;0.445;;;;;;;;;;;;
173316.11;;0.459;;;;;;;;;;;;
173389.10;;0.445;;;;;;;;;;;;
173400.11;;0.459;;;;;;;;;;;;
173437.11;;0.447;;;;;;;;;;;;
173448.12;;0.460;;;;;;;;;;;;
173474.12;;0.449;;;;;;;;;;;;
173487.12;;0.460;;;;;;;;;;;;
173535.10;;0.449;;;;;;;;;;;;
173613.10;;0.460;;;;;;;;;;;;
173643.10;;0.445;;;;;;;;;;;;
173654.12;;0.458;;;;;;;;;;;;
173672.12;;0.446;;;;;;;;;;;;
173720.10;;0.457;;;;;;;;;;;;
173732.10;;0.446;;;;;;;;;;;;
173740.10;1662;0.020;5.17;76;1836787;0;1;33901;31.9;0;1;-1;0;0
